text,label,confidence,reason,features,source
اوفيس 2021 برو بلس ترخيص مايكروسوفت للبيع رقم 6280276 نضمن لكم عدم بيع أي مفاتيح مشتركة أو تفعيل عبر الهاتف للمزيد اضغط هنا اضغط هـــنــــا لمعرفة اصدار اوفس المناسب لكم مرحبا بكم في متجركم متجر كيز اسم البرنامج اوفيس برو بلس 2021 نسخة أصلية 100 مدى الحياة يدعم نظام تشغيل ويندوز 10 و 11 فقط يشمل البرامج وورد بوربوينت اكسل اوتلوك ون نوت أكسس ببلشر المفتاح يتم ربطه بحساب مايكروسوفت الخاص بكم المفتاح يقبل التفعيل مرة أخرى على نفس الجهاز في حال عمل فورمات له مستقبلا سيتم ارسال المفتاح فورا على ايميلكم المسجل غايتنا هي تحقيق تجربة ممتعة لكم للتسوق عبر متجركم الالكتروني متجر كيز ,2,0.9,"The product offers a lifetime subscription license key, which is explicitly marked as illegal according to the rules.","['ترخيص', 'مدى الحياة', 'مفتاح', 'Lifetime subscription']",llm
ويندوز 11 برو ترخيص مايكروسوفت للبيع رقم 6280276 نضمن لكم عدم بيع أي مفاتيح مشتركة أو تفعيل عبر الهاتف للمزيد اضغط هنا مرحبا بكم في متجركم متجر كيز اسم البرنامج ويندوز 11 برو Windows 11 Pro نسخة أصلية 100 مدى الحياة تدعم 32 و 64 بت لجميع اللغات المفتاح يقبل التفعيل عدد لا محدود من المرات على نفس الجهاز في حال عمل فورمات له مستقبلا سيتم ارسال المفتاح فورا عبر الايميل غايتنا هي تحقيق تجربة ممتعة لكم للتسوق عبر متجركم الالكتروني متجر كيز ,2,0.9,"The product advertises a 'مدى الحياة' (lifetime) license, which is classified as illegal according to the rules.","['Lifetime subscription', 'License key']",llm
نورتون سيكيوريتي ديلوكس 2024 مرحبا بكم في متجركم متجر كيز اسم البرنامج نورتون سكيوروتي ديلوكس Norton Security Deluxe نسخة أصلية 100 اشتراك لمدة سنة يدعم 3 أجهزة من مختلف الأنظمة المفتاح يقبل التسجيل على حساب نورتون الخاص بكم سيتم ارسال المفتاح فورا عبر الايميل غايتنا هي تحقيق تجربة ممتعة لكم للتسوق عبر متجركم الالكتروني متجر كيز ,0,0.9,"The product is a license key for Norton Security Deluxe 2024, valid for one year and supports multiple devices. License keys are allowed.","['license key', 'subscription', 'Norton Security Deluxe', 'one year', '3 devices']",llm
مكافي توتال بروتكشن 2024 جهاز واحد مرحبا بكم في متجركم متجر كيز اسم البرنامج مكافي توتال بروتكشن 2024 McAfee Total Protection نسخة أصلية 100 اشتراك لمدة 12 شهر متوافق مع نظام ويندوز 8 أو أحدث أو نظام ماك اصدار 10 12 أو أحدث متوافق مع أنظمة الجوال والتابلت أندرويد ايفون ايباد يمكنكم تسجيل الكود على حسابكم الخاص سيتم ارسال المفتاح فورا عبر الايميل ,0,0.95,"The product is a license key for McAfee Total Protection 2024 with a 12-month subscription, which is allowed according to the rules.","['license key', '12-month subscription', 'McAfee Total Protection 2024']",llm
تريند مايكرو ماكسيمم 2025 مرحبا بكم في متجركم متجر كيز اسم البرنامج تريند مايكرو ماكسيمم سكيوروتي 2025 Trend Micro Maximum Security نسخة أصلية 100 اشتراك لمدة 12 شهر ثلاث أجهزة تشمل ويندوز ماك جوال أو تابلت لغة انجليزية فقط يمكنكم تسجيل الكود على حسابكم الخاص سيتم ارسال الكود في مدة أقصاها 4 ساعات من وقت السداد غايتنا هي تحقيق تجربة ممتعة لكم للتسوق عبر متجركم الالكتروني متجر كيز ,0,0.9,"The product is a code/voucher for Trend Micro Maximum Security 2025 subscription, which is allowed according to the rules.","['code', 'subscription', 'Trend Micro Maximum Security', '12-month subscription', '3 devices']",llm
اوفيس 2019 برو بلس ترخيص مايكروسوفت للبيع رقم 6280276 نضمن لكم عدم بيع أي مفاتيح مشتركة أو تفعيل عبر الهاتف للمزيد اضغط هنا اضغط هـــنــــا لمعرفة اصدار اوفس المناسب لكم مرحبا بكم في متجركم متجر كيز اسم البرنامج اوفيس برو بلس 2019 نسخة أصلية 100 مدى الحياة يدعم نظام تشغيل ويندوز 10 و 11 فقط يشمل البرامج وورد بوربوينت اكسل اوتلوك ون نوت أكسس ببلشر المفتاح يتم ربطه بحساب مايكروسوفت الخاص بكم المفتاح يقبل التفعيل مرة أخرى على نفس الجهاز في حال عمل فورمات له مستقبلا سيتم ارسال المفتاح فورا على ايميلكم المسجل غايتنا هي تحقيق تجربة ممتعة لكم للتسوق عبر متجركم الالكتروني متجر كيز ,2,0.9,"The product is described as a lifetime subscription license for Office 2019 Pro Plus, which is explicitly prohibited. Lifetime subscriptions are classified as illegal.","['lifetime subscription', 'license key', 'Office 2019 Pro Plus']",llm
مكافي توتال بروتكشن 2024 ثلاث أجهزة مرحبا بكم في متجركم متجر كيز اسم البرنامج مكافي توتال بروتكشن 2024 McAfee Total Protection نسخة أصلية 100 اشتراك لمدة 12 شهر متوافق مع نظام ويندوز 8 أو أحدث أو نظام ماك اصدار 10 12 أو أحدث متوافق مع أنظمة الجوال والتابلت أندرويد ايفون ايباد يمكنكم تسجيل الكود على حسابكم الخاص سيتم ارسال المفتاح فورا عبر الايميل ,0,0.95,"The product is a license key for McAfee Total Protection 2024 with a 12-month subscription, which is allowed according to the rules.","['license key', '12-month subscription', 'McAfee Total Protection 2024']",llm
اشتراك سبوتيفاي 3 أشهر Spotify Premium  استمتع بتجربة موسيقية لا مثيل لها مع اشتراك سبوتيفاي بريميوم Spotify Premium اكتشف منصة الموسيقى الأولى عالميا واستمتع بكل ما تحبه من الأغاني العربية والعالمية في مكان واحد أنشئ قوائم التشغيل الخاصة بك واكتشف ملايين الأغاني بسهولة مزايا اشتراك سبوتيفاي بريميوم تشغيل الموسيقى في الخلفية حتى لو كان هاتفك مغلقا أو تستخدم تطبيقات أخرى استمتع بأغانيك المفضلة بدون إعلانات مزعجة وصول حصري لأحدث الأغاني والإصدارات العالمية والعربية إمكانية تنزيل الأغاني والاستماع إليها دون اتصال بالإنترنت الضمان والجودة مدة ضمان الاشتراك بنفس مدة الاشتراك التي اخترتها ستحصل على دعوة خاصة على الرقم المسجل في طلبك وبإمكانك الانضمام إلى اشتراكك فورا طريقة استلام الاشتراك سيتم إرسال رابط تفعيل اشتراكك في سبوتيفاي مباشرة إلى حسابك الشخصي دون الحاجة لأي معلومات دخول أو بيانات إضافية لسهولة وسرعة تفعيل اشتراكك فورا الاستفسار تواصل معنا الآن عبر قنوات دعم الواتساب 966532170085 تيليجرام TRxSTOREBOT يسعدنا خدمتكم على مدار الساعة سبوتيفاي بريميوم عالم من الموسيقى بين يديك ,2,0.9,"The product offers a Spotify Premium subscription with a 'دعوة خاصة' (special invite) to join the subscription, indicating shared access or team invite, which is illegal according to the rules.","['اشتراك سبوتيفاي', 'دعوة خاصة', 'الانضمام إلى اشتراك', 'shared access']",llm
اشتراك أمازون برايم شهر واحد بروفايل Amazon Prime ,2,0.9,Subscription sharing or account selling is considered illegal according to the rules.,"['اشتراك', 'Amazon Prime', 'بروفايل']",llm
اشتراك أمازون برايم 12 شهر بروفايل Amazon Prime ,2,0.9,"The product is a subscription service (Amazon Prime 12 months), which is considered illegal as lifetime or subscription sales are not allowed.","['اشتراك', 'Amazon Prime', '12 شهر']",llm
