name,price,currency,description,thumbnail,mahly_category_id,updated_date,rand,category_id,category_name,category_level1,category_level2,category_level3,row_id,full_path
"اوفيس 2021 برو بلس",419,"SAR","<p class=""ql-align-right text-right"">ترخيص مايكروسوفت للبيع رقم 6280276</p><p class=""ql-align-right""><br></p><p><strong style=""color: rgb(247, 0, 0);"">نضمن لكم عدم بيع أي مفاتيح مشتركة أو تفعيل عبر الهاتف.&nbsp;</strong><a href=""https://kyzstore.com/p/nogD"" target=""_blank"" style=""color: rgb(0, 0, 0);""><strong>للمزيد اضغط هنا</strong></a></p><p><span style=""color: rgb(255, 7, 7);"">﻿</span></p><p><a href=""https://kyzstore.com/p/XzpB"" target=""_blank"" style=""color: rgb(220, 41, 9); background-color: rgb(255, 255, 255);"">اضغط هـــنــــا لمعرفة اصدار اوفس المناسب لكم</a></p><p><br></p><p><strong style=""color: rgb(4, 44, 191);"">مرحبا بكم في متجركم... متجر كيز!</strong></p><p><br></p><p>- اسم البرنامج:&nbsp;<strong style=""color: rgb(7, 46, 193);"">اوفيس برو بلس 2021</strong></p><p>- نسخة أصلية 100٪ مدى الحياة.</p><p>- يدعم نظام تشغيل ويندوز 10 و 11 فقط</p><p>- يشمل البرامج (وورد - بوربوينت - اكسل - اوتلوك - ون نوت - أكسس - ببلشر)</p><p>- المفتاح يتم ربطه بحساب مايكروسوفت الخاص بكم</p><p>- المفتاح يقبل التفعيل مرة أخرى على نفس الجهاز في حال عمل فورمات له مستقبلا</p><p>- سيتم ارسال المفتاح فورا على ايميلكم المسجل.</p><p><br></p><p><strong style=""color: rgb(9, 50, 198);"">غايتنا هي تحقيق تجربة ممتعة لكم للتسوق عبر متجركم الالكتروني... متجر كيز!</strong></p>","https://cdn.salla.sa/PrVx/nr43xSCiOGHgk1Hrge4oT6myh5YTrBbFJthmABj1.jpg",1131,"2026-02-20T16:49:07Z",2,"1131","مايكروسوفت اوفيس","بطاقات رقمية","خدمات واشتراكات","مايكروسوفت اوفيس","618","بطاقات رقمية > خدمات واشتراكات > مايكروسوفت اوفيس"
"ويندوز 11 برو",109,"SAR","<p class=""ql-align-right text-right"">ترخيص مايكروسوفت للبيع رقم 6280276</p><p class=""ql-align-right""><br></p><p class=""ql-align-right text-right""><strong style=""color: rgb(247, 0, 0);"">نضمن لكم عدم بيع أي مفاتيح مشتركة أو تفعيل عبر الهاتف.</strong><span style=""color: rgb(247, 0, 0);"">&nbsp;</span><a href=""https://kyzstore.com/p/nogD"" target=""_blank"" style=""color: rgb(0, 0, 0);""><strong>للمزيد اضغط هنا</strong></a></p><p><br></p><p><strong style=""color: rgb(0, 56, 194);"">مرحبا بكم في متجركم... متجر كيز!</strong></p><p><br></p><p>- اسم البرنامج:&nbsp;<strong style=""color: rgb(0, 56, 194);"">ويندوز 11 برو Windows 11 Pro</strong></p><p>- نسخة أصلية 100٪ مدى الحياة تدعم 32 و 64 بت لجميع اللغات</p><p>- المفتاح يقبل التفعيل عدد لا محدود من المرات على نفس الجهاز في حال عمل فورمات له مستقبلا</p><p>- سيتم ارسال المفتاح فورا عبر الايميل.</p><p><br></p><p><strong style=""color: rgb(0, 56, 194);"">غايتنا هي تحقيق تجربة ممتعة لكم للتسوق عبر متجركم الالكتروني.... متجر كيز!</strong></p>","https://cdn.salla.sa/PrVx/vRruDTXBnISjntCjxpkuplbzRRTD5r6oegN4hEpx.png",1135,"2026-03-01T15:57:30Z",4,"1135","ويندوز","بطاقات رقمية","خدمات واشتراكات","ويندوز","622","بطاقات رقمية > خدمات واشتراكات > ويندوز"
"نورتون سيكيوريتي ديلوكس 2024",89,"SAR","<p><span style=""color: rgb(4, 44, 191);"">مرحبا بكم في متجركم... متجر كيز!</span></p><p><br></p><p>- اسم البرنامج:&nbsp;<span style=""color: rgb(7, 47, 194);"">نورتون سكيوروتي ديلوكس Norton Security Deluxe</span></p><p>- نسخة أصلية 100٪</p><p>- اشتراك لمدة سنة</p><p>- يدعم 3 أجهزة من مختلف الأنظمة</p><p>- المفتاح يقبل التسجيل على حساب نورتون الخاص بكم</p><p>- سيتم ارسال المفتاح فورا عبر الايميل</p><p><br></p><p><br></p><p><span style=""color: rgb(9, 50, 199);"">غايتنا هي تحقيق تجربة ممتعة لكم للتسوق عبر متجركم الالكتروني... متجر كيز!</span></p>","https://cdn.salla.sa/PrVx/4hpioJeNRchnYk20zPjVnM9ubfQx5QfCmrefUpEI.jpg",1006,"2026-03-03T00:07:03Z",3,"1006","خدمات واشتراكات","بطاقات رقمية","خدمات واشتراكات","","614",""
"مكافي توتال بروتكشن 2024 جهاز واحد",65,"SAR","<p class=""ql-align-right""><strong style=""color: rgb(4, 44, 191);"">مرحبا بكم في متجركم... متجر كيز!</strong></p><p class=""ql-align-right""><br></p><p class=""ql-align-right"">- اسم البرنامج:&nbsp;<strong style=""color: rgb(19, 60, 212);"">مكافي توتال بروتكشن 2024 McAfee Total Protection</strong></p><p class=""ql-align-right"">- نسخة أصلية 100٪</p><p class=""ql-align-right"">- اشتراك لمدة 12 شهر</p><p class=""ql-align-right"">- متوافق مع نظام ويندوز 8 (أو أحدث) أو نظام ماك اصدار 10.12 (أو أحدث)</p><p class=""ql-align-right"">- متوافق مع أنظمة الجوال والتابلت (أندرويد - ايفون - ايباد)</p><p class=""ql-align-right"">- يمكنكم تسجيل الكود على حسابكم الخاص</p><p class=""ql-align-right"">- سيتم ارسال المفتاح فورا عبر الايميل.</p><p><br></p>","https://cdn.salla.sa/PrVx/uITFXY9il0aef6QAXUanC555vWeXkutJX3Q9r7ic.jpg",1147,"2026-02-25T21:40:44Z",8,"1147","مكافي","بطاقات رقمية","خدمات واشتراكات","مكافي","634","بطاقات رقمية > خدمات واشتراكات > مكافي"
"تريند مايكرو ماكسيمم 2025",39,"SAR","<p class=""ql-align-right""><strong style=""color: rgb(4, 44, 191);"">مرحبا بكم في متجركم... متجر كيز!</strong></p><p class=""ql-align-right""><br></p><p class=""ql-align-right"">- اسم البرنامج: <strong style=""color: rgb(4, 44, 191);"">تريند مايكرو ماكسيمم سكيوروتي 2025 Trend Micro Maximum Security</strong></p><p class=""ql-align-right"">- نسخة أصلية 100٪</p><p class=""ql-align-right"">- اشتراك لمدة 12 شهر</p><p class=""ql-align-right"">- ثلاث أجهزة تشمل ويندوز، ماك، جوال، أو تابلت</p><p class=""ql-align-right"">- لغة انجليزية فقط</p><p class=""ql-align-right"">- يمكنكم تسجيل الكود على حسابكم الخاص</p><p class=""ql-align-right"">- سيتم ارسال الكود في مدة أقصاها 4 ساعات من وقت السداد.</p><p class=""ql-align-right""><br></p><p class=""ql-align-right""><br></p><p class=""ql-align-right""><strong style=""color: rgb(4, 44, 191);"">غايتنا هي تحقيق تجربة ممتعة لكم للتسوق عبر متجركم الالكتروني... متجر كيز!</strong></p>","https://cdn.salla.sa/PrVx/0FkMFjUfJtGBiRbTrU75P03Lnqc5DEG97vnu1hC2.png",1006,"2026-02-26T00:24:30Z",6,"1006","خدمات واشتراكات","بطاقات رقمية","خدمات واشتراكات","","614",""
"اوفيس 2019 برو بلس",229,"SAR","<p class=""ql-align-right text-right"">ترخيص مايكروسوفت للبيع رقم 6280276</p><p class=""ql-align-right""><br></p><p><strong style=""color: rgb(247, 0, 0);"">نضمن لكم عدم بيع أي مفاتيح مشتركة أو تفعيل عبر الهاتف.&nbsp;</strong><a href=""https://kyzstore.com/p/nogD"" target=""_blank"" style=""color: rgb(0, 0, 0);""><strong>للمزيد اضغط هنا</strong></a></p><p><span style=""color: rgb(255, 7, 7);"">﻿</span></p><p><a href=""https://kyzstore.com/p/XzpB"" target=""_blank"" style=""background-color: rgb(255, 255, 255); color: rgb(220, 41, 9);"">اضغط هـــنــــا لمعرفة اصدار اوفس المناسب لكم</a></p><p><br></p><p><strong style=""color: rgb(4, 44, 191);"">مرحبا بكم في متجركم... متجر كيز!</strong></p><p><br></p><p>- اسم البرنامج:&nbsp;<strong style=""color: rgb(7, 46, 193);"">اوفيس برو بلس 2019</strong></p><p>- نسخة أصلية 100٪ مدى الحياة.</p><p>- يدعم نظام تشغيل ويندوز 10 و 11 فقط</p><p>- يشمل البرامج (وورد - بوربوينت - اكسل - اوتلوك - ون نوت - أكسس - ببلشر)</p><p>- المفتاح يتم ربطه بحساب مايكروسوفت الخاص بكم</p><p>- المفتاح يقبل التفعيل مرة أخرى على نفس الجهاز في حال عمل فورمات له مستقبلا</p><p>- سيتم ارسال المفتاح فورا على ايميلكم المسجل.</p><p><br></p><p><strong style=""color: rgb(9, 50, 198);"">غايتنا هي تحقيق تجربة ممتعة لكم للتسوق عبر متجركم الالكتروني... متجر كيز!</strong></p>","https://cdn.salla.sa/PrVx/xKwIF5N5ENYoKFD5izvvwQ1HlLZ8Pt5mSOqld2rs.jpg",1131,"2026-02-20T16:49:46Z",1,"1131","مايكروسوفت اوفيس","بطاقات رقمية","خدمات واشتراكات","مايكروسوفت اوفيس","618","بطاقات رقمية > خدمات واشتراكات > مايكروسوفت اوفيس"
"مكافي توتال بروتكشن 2024 ثلاث أجهزة",85,"SAR","<p class=""ql-align-right""><strong style=""color: rgb(4, 44, 191);"">مرحبا بكم في متجركم... متجر كيز!</strong></p><p class=""ql-align-right""><br></p><p class=""ql-align-right"">- اسم البرنامج:&nbsp;<strong style=""color: rgb(19, 60, 212);"">مكافي توتال بروتكشن 2024 McAfee Total Protection</strong></p><p class=""ql-align-right"">- نسخة أصلية 100٪</p><p class=""ql-align-right"">- اشتراك لمدة 12 شهر</p><p class=""ql-align-right"">- متوافق مع نظام ويندوز 8 (أو أحدث) أو نظام ماك اصدار 10.12 (أو أحدث)</p><p class=""ql-align-right"">- متوافق مع أنظمة الجوال والتابلت (أندرويد - ايفون - ايباد)</p><p class=""ql-align-right"">- يمكنكم تسجيل الكود على حسابكم الخاص</p><p class=""ql-align-right"">- سيتم ارسال المفتاح فورا عبر الايميل.</p><p><br></p>","https://cdn.salla.sa/PrVx/n5826DXXe95gju2RVaPXrzKgex9kdBTzDdCGfCcY.png",1147,"2026-02-25T21:40:40Z",8,"1147","مكافي","بطاقات رقمية","خدمات واشتراكات","مكافي","634","بطاقات رقمية > خدمات واشتراكات > مكافي"
"اشتراك سبوتيفاي 3 أشهر | Spotify Premium",49.99,"SAR","<p>🎧 استمتع بتجربة موسيقية لا مثيل لها مع اشتراك سبوتيفاي بريميوم! 🎧</p><p>Spotify Premium</p><p><br></p><p>اكتشف منصة الموسيقى الأولى عالميًا، واستمتع بكل ما تحبه من الأغاني العربية والعالمية في مكان واحد.</p><p>أنشئ قوائم التشغيل الخاصة بك، واكتشف ملايين الأغاني بسهولة!</p><p><br></p><p>🌟 مزايا اشتراك سبوتيفاي بريميوم:</p><ul><li>تشغيل الموسيقى في الخلفية، حتى لو كان هاتفك مغلقًا أو تستخدم تطبيقات أخرى.</li><li>استمتع بأغانيك المفضلة بدون إعلانات مزعجة.</li><li>وصول حصري لأحدث الأغاني والإصدارات العالمية والعربية.</li><li>إمكانية تنزيل الأغاني والاستماع إليها دون اتصال بالإنترنت.</li></ul><h2><br></h2><p>✨ الضمان والجودة:</p><ul><li>مدة ضمان الاشتراك بنفس مدة الاشتراك التي اخترتها.</li><li>ستحصل على دعوة خاصة على الرقم المسجل في طلبك، وبإمكانك الانضمام إلى اشتراكك فورًا.</li></ul><p>📥 طريقة استلام الاشتراك: سيتم إرسال رابط تفعيل اشتراكك في سبوتيفاي مباشرة إلى حسابك الشخصي، دون الحاجة لأي معلومات دخول أو بيانات إضافية، لسهولة وسرعة تفعيل اشتراكك فورًا. 📩 **الاستفسار، تواصل معنا الآن عبر قنوات دعم* الواتساب :&nbsp;<a href=""https://api.whatsapp.com/send/?phone=966532170085&amp;text&amp;type=phone_number&amp;app_absent=0"" target=""_blank"" style=""color: rgb(51, 122, 183);"">966532170085</a></p><p>تيليجرام :&nbsp;<a href=""https://t.me/TRxSTOREBOT"" target=""_blank"" style=""color: rgb(51, 122, 183);"">TRxSTOREBOT</a></p><p>يسعدنا خدمتكم على مدار الساعة.</p><p><br></p><p class=""ql-align-right text-right"">🎶 سبوتيفاي بريميوم.. عالم من الموسيقى بين يديك! 🎶<img src=""https://cdn.salla.sa/WAaN/mSFVFyPpH7ud339PeMLdAzD6bDWG3MYrQfWzXgNE.gif""></p>","https://cdn.salla.sa/WAaN/d521e5df-aed2-43d9-a0be-66f57d8a64db-500x500-XpzQoPRD1szMytRR4vgF5bXCe46qSlxcBZWaMyWs.jpg",1131,"2026-02-04T19:29:49Z",4,"1131","مايكروسوفت اوفيس","بطاقات رقمية","خدمات واشتراكات","مايكروسوفت اوفيس","618","بطاقات رقمية > خدمات واشتراكات > مايكروسوفت اوفيس"
"اشتراك أمازون برايم شهر واحد ( بروفايل )  | Amazon Prime",12.99,"SAR","<p><br></p><iframe class=""ql-video"" frameborder=""0"" allowfullscreen=""true"" src=""https://player.vimeo.com/video/731889063/""></iframe><p class=""ql-align-right""><br></p><p class=""ql-align-right""><img src=""https://cdn.salla.sa/WAaN/SdSQ1W2W7uFuIquPVOHM4Ymlw5RLFIRcEeY4NbSD.gif""></p><p class=""ql-align-right""><img src=""https://cdn.salla.sa/WAaN/dvbJW2xvD9G9uqbNs6jVq0c6WqsZJvSXdZoV7Gnr.png""></p><p><br></p><p><br></p><p class=""ql-align-right""><br></p><p class=""ql-align-right""><br></p><p><img src=""https://cdn.salla.sa/WAaN/zDBJh6g3GJ4yBxUQDjhpeHo6bQfM1cxNeWVR0yz7.gif""></p>","https://cdn.salla.sa/WAaN/7fcd6cbd-99eb-41a8-94c8-f91d2b7e82d6-500x500-xrRq6KdKbBA1DGDKwTgyypMuZO5jkgXRZiicW9zP.jpg",1131,"2026-02-04T19:46:46Z",7,"1131","مايكروسوفت اوفيس","بطاقات رقمية","خدمات واشتراكات","مايكروسوفت اوفيس","618","بطاقات رقمية > خدمات واشتراكات > مايكروسوفت اوفيس"
"اشتراك أمازون برايم 12 شهر ( بروفايل )  | Amazon Prime",79.5,"SAR","<p><br></p><iframe class=""ql-video"" frameborder=""0"" allowfullscreen=""true"" src=""https://player.vimeo.com/video/731889063/""></iframe><p class=""ql-align-right""><br></p><p class=""ql-align-right""><img src=""https://cdn.salla.sa/WAaN/nMKt5ez6uFUMIdMfWYLa8mX3zlREpSTsRwvbkRDZ.gif""></p><p class=""ql-align-right""><img src=""https://cdn.salla.sa/WAaN/gJ2qw5LMarLCcGnWQbpeqxlKKpr8jRh3MUQfy2Lu.png""></p><p><br></p><p><br></p><p class=""ql-align-right""><br></p><p class=""ql-align-right""><br></p><p class=""ql-align-right""><br></p><p><img src=""https://cdn.salla.sa/WAaN/u23t5t3LpOygdhlnzQdstQiDmXUVrvHzhVRNDPlX.gif""></p>","https://cdn.salla.sa/WAaN/99d2e0dc-4607-4479-9f51-dd8a3f680b67-500x500-3JzGdoAL4w8cfL8kPzijSyqX6n9i1YKvBCJcv6ks.jpg",1135,"2026-02-04T19:49:30Z",5,"1135","ويندوز","بطاقات رقمية","خدمات واشتراكات","ويندوز","622","بطاقات رقمية > خدمات واشتراكات > ويندوز"
